Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
7.50207,0,0,0,0,-0.275422,0.0672084,-0.00602408,0.000194419,0,0,0,0,-0.340837,0.0901967,-0.00853151,0.000286153,0,0,0,0,-0.340926,0.109611,-0.0123584,0.000477897,0,0,0,0,0,0,0,0
10.1627,-89.2397,-17.0192,1.56008,0.244495,-0.0633424,0.0100194,-0.000813521,2.44247e-05,-74.49,-6.44616,3.17405,0.215662,-0.0690536,0.00502934,-0.000145823,1.02505e-06,-39.2121,-5.46882,-1.02539,0.0813327,0.146019,-0.0295546,0.00213961,-5.4804e-05,0,0,0,0,0,0,0,0
6.25389,-56.7519,18.1062,0.363261,0.0587804,0.0375907,-0.0230405,0.00324453,-0.000146834,73.6199,16.266,-1.25243,-0.0755563,-0.142849,0.0403777,-0.00420874,0.000158917,-18.0269,4.6872,-0.684831,-0.0525055,0.00248808,0.000581384,-2.08924e-05,-1.78415e-06,0,0,0,0,0,0,0,0
10.1627,61.3272,14.8409,-1.1208,-0.00156931,-0.0236779,0.00430748,-0.000266508,5.69593e-06,83.3,-14.2239,-2.07408,0.0625182,0.0189774,-2.13877e-05,-0.000104952,3.69423e-06,-20.8907,-5.10459,-0.501815,0.0393952,0.0125611,-0.0014547,7.0184e-05,-1.45889e-06,0,0,0,0,0,0,0,0
11.5983,79.2921,-7.51742,-0.305055,0.0166343,0.014496,-0.00239334,0.000145925,-3.20084e-06,-83.9975,1.75049,2.98471,-0.0120887,-0.0410412,0.00433211,-0.000226629,4.98402e-06,-45.9668,6.45248,1.12303,-0.0237526,-0.00600866,-0.00162135,0.000210641,-6.42444e-06,0,0,0,0,0,0,0,0
12.4482,1.87035,-4.74087,0.134513,-0.00415663,-0.00100531,0.000329468,-2.2954e-05,5.39536e-07,74.5428,1.47685,-2.51974,-0.00369184,0.0183691,-0.00104441,3.55802e-05,-7.84262e-07,25.2316,-5.49515,-0.989727,0.0203733,-0.0552043,0.0121029,-0.00084353,1.96137e-05,0,0,0,0,0,0,0,0
10.3245,-30.3972,1.36083,0.518968,0.024215,-0.00615607,0.00111863,-8.43581e-05,1.78969e-06,-79.6862,-3.24716,2.16732,0.00610131,-0.133886,0.0302903,-0.00246474,6.8751e-05,-95.3589,4.49955,1.1969,-0.0328578,0.119875,-0.0306357,0.00255895,-7.16529e-05,0,0,0,0,0,0,0,0
3.03872,47.1082,12.0688,-0.326115,-0.182667,-1.1603,0.738114,-0.175876,0.0150179,31.1272,22.9669,-0.629532,-0.144664,-1.04948,0.53453,-0.101388,0.00684022,14.0264,-0.393602,-0.68907,0.0906823,-1.10602,0.914773,-0.254792,0.0240999,0,0,0,0,0,0,0,0
8.946,65.4141,-1.17166,-2.39321,-0.0110723,0.00345506,0.00491519,-0.000504869,1.42248e-05,76.5959,5.30778,-2.56219,-0.0276301,0.0452502,-0.00715811,0.000517142,-1.40048e-05,8.77631,0.510177,0.796235,0.0509286,0.0793072,-0.0267637,0.00261337,-8.41512e-05,0,0,0,0,0,0,0,0
10.4357,-34.3243,-1.87581,2.7708,0.00577898,-0.0526702,0.00662479,-0.000421876,1.11093e-05,-20.2192,-19.2786,0.00825298,0.128426,-0.0145118,0.00339755,-0.000281464,7.17779e-06,41.6652,-6.48886,-1.55117,0.0262838,-0.0729363,0.0211808,-0.00180738,5.03795e-05,0,0,0,0,0,0,0,0
7.86976,54.5273,-1.58822,-2.35189,0.0441615,0.0488527,-0.00356592,-2.77609e-05,4.79185e-06,-92.9465,14.2365,1.74272,-0.195363,-0.0396984,0.00526716,-0.000187277,3.18931e-06,-64.0011,7.50262,1.739,-0.120296,0.163226,-0.0623052,0.00725008,-0.000272133,0,0,0,0,0,0,0,0
1.7961,0,-0.606468,0.904422,-0.253797,-0.144972,0.0273974,0.0396614,-0.0114885,0,0.372731,-0.70287,0.419677,-0.0424272,-0.0338635,0.00548887,0.000937549,3,-3.59633,0.509514,0.570158,-0.525034,0.750275,-0.456705,0.0876418,0,0,0,0,0,0,0,0
